key,sender,senderID,senderPlace,senderPlaceID,senderDate,addressee,addresseeID,addresseePlace,addresseePlaceID,addresseeDate,note,edition,page,source,sourceID,provenance,extent
255,Carl Philipp Emanuel Bach,118505505,Hamburg,http://www.geonames.org/2911298,1776-07-31,Johann Gottlob Immanuel Breitkopf,118809873,Leipzig,http://www.geonames.org/2879139,,,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
256,Carl Philipp Emanuel Bach,118505505,Hamburg,http://www.geonames.org/2911298,1776-08-06,Johann Gottlob Immanuel Breitkopf,118809873,Leipzig,http://www.geonames.org/2879139,,,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
257,Carl Philipp Emanuel Bach,118505505,Hamburg,http://www.geonames.org/2911298,1776-08-07,Johann Gottlob Immanuel Breitkopf,118809873,Leipzig,http://www.geonames.org/2879139,,,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
258,Friedrich Gottlieb Klopstock,118563386,Hamburg,http://www.geonames.org/2911298,1776-08-17,Gottlob Friedrich Ernst Schönborn,116863919,,,,,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
259,Carl Philipp Emanuel Bach,118505505,Hamburg,http://www.geonames.org/2911298,1776-08-23,Johann Gottlob Immanuel Breitkopf,118809873,Leipzig,http://www.geonames.org/2879139,,,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
260,Carl Philipp Emanuel Bach,118505505,Hamburg,http://www.geonames.org/2911298,1776-09-04,Johann Nikolaus Forkel,118809962,Göttingen,http://www.geonames.org/2918632,,,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
261,Carl Philipp Emanuel Bach,118505505,Hamburg,http://www.geonames.org/2911298,1776-09-05,Charles Burney,118665340,London,http://www.geonames.org/2643743,,,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
262,,,Hamburg,http://www.geonames.org/2911298,1776-09-12,Bach: Rechnung für Einführung des Pastors Schulze,,,,,Rechnung,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
263,Carl Philipp Emanuel Bach,118505505,Hamburg,http://www.geonames.org/2911298,1776-09-17,Hauptkirche St. Katharinen,7572956-8,Hamburg,http://www.geonames.org/2911298,,Rechnung,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
264,Carl Philipp Emanuel Bach,118505505,Hamburg,http://www.geonames.org/2911298,1776-09-20,Hauptkirche St. Katharinen,7572956-8,Hamburg,http://www.geonames.org/2911298,,Rechnung,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
265,,,Hamburg,http://www.geonames.org/2911298,1776-09-26,Bach: Rechnung für Einführung des Pastors Wächter,,,,,Rechnung,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
266,Gotthold Ephraim Lessing,118572121,Wolfenbüttel,http://www.geonames.org/2806914,1776-09-26,Carl Wilhelm Daßdorf,116028254,Dresden,http://www.geonames.org/2935022,,,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
