key,sender,senderID,senderPlace,senderPlaceID,senderDate,addressee,addresseeID,addresseePlace,addresseePlaceID,addresseeDate,note,edition,page,source,sourceID,provenance,extent
91,Johann Elias Bach,116216026,,,1742-03-16,Sabina Magdalena Hacker,,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",192,D-LEb,,,148-149
92,Johann Elias Bach,116216026,,,1742-03-21,Gottlob Persigk,1018996605,Dresden,http://www.geonames.org/2935022,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",193-194,D-LEb,,,150-152
93,Johann Elias Bach,116216026,,,1742-04-18,Carl Friedrich Schöpf,100264158,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",194-195,D-LEb,,,157-159
94,Johann Elias Bach,116216026,,,1742-04-18,Höflich,,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",195-196,D-LEb,,,159-160
95,Johann Elias Bach,116216026,,,1742-04-18,Anna Sibylla Bach; Catharina Margaretha Bach,,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",196-197,D-LEb,,,161
96,Johann Elias Bach,116216026,,,1742-04-18,Johann Andreas Schüßler,,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",197-198,D-LEb,,,162-164
97,Johann Elias Bach,116216026,,,1742-04-18,Sabina Magdalena Hacker,,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",198-199,D-LEb,,,166-167
98,Johann Elias Bach,116216026,,,1742-04-18,Simon Friedrich von Meyern,,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",199-200,D-LEb,,,167-168
99,Johann Elias Bach,116216026,,,1742-04-18,Friedrich Adam Segnitz,120257726,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",201,D-LEb,,,169-170
100,Johann Elias Bach,116216026,,,1742-04-28,Johann Ernst Bach,121599027,Eisenach,http://www.geonames.org/2931574,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",202,D-LEb,,,172
101,Johann Elias Bach,116216026,,,1742-05?,Johann Wilhelm Koch,13390637X,Ronneburg,http://www.geonames.org/2845229,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",202-203,D-LEb,,,173-174
102,Johann Elias Bach,116216026,,,1742-05-12,Carl Philipp Emanuel Bach,118505505,Berlin,http://www.geonames.org/2950159,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",204,D-LEb,,,175-176
103,Johann Elias Bach,116216026,,,1742-05-18,Simon Friedrich von Meyern,,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",205-206,D-LEb,,,177-178
104,Johann Elias Bach,116216026,,,1742-06-21,Sabina Magdalena Hacker,,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",206-207,D-LEb,,,186-188
105,Johann Elias Bach,116216026,,,1742-07-06,Friedrich Adam Segnitz,120257726,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",207-209,D-LEb,,,189-190
